gameid, time, condition, critical, objectSet, instructionNum, attemptNum, intendedObj, actualObj, intendedX, intendedY, actualX, actualY, criticalError
6008-1,undefined,base,1,8,1,0,computerMouse,computerMouse,4,2,4,4,0
6008-1,undefined,exp,0,6,1,0,dollar,banana,4,3,4,1,0
6008-1,undefined,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
6008-1,undefined,exp,1,6,2,1,boardEraser,pencilEraser,2,3,1,2,1
6008-1,undefined,exp,1,6,2,2,boardEraser,pencilEraser,2,3,1,2,1
6008-1,undefined,exp,1,6,2,3,boardEraser,pencilEraser,2,3,1,2,1
6008-1,undefined,exp,1,6,2,4,boardEraser,pencilEraser,2,3,1,2,1
6008-1,undefined,exp,1,6,2,5,boardEraser,pencilEraser,2,3,1,4,1
6008-1,undefined,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
6008-1,undefined,exp,0,5,2,0,headphones,headphones,3,3,2,3,0
6008-1,undefined,base,0,7,0,0,magnet,largeCandle,2,4,4,4,0
6008-1,undefined,base,1,7,3,0,mediumCandle,largeCandle,1,2,3,5,0
6008-1,undefined,exp,1,4,1,0,mediumMeasuringCup,largeMeasuringCup,4,4,1,4,1
8136-9,undefined,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
8136-9,undefined,exp,1,6,2,1,boardEraser,pencilEraser,2,3,1,2,1
5266-a,undefined,exp,0,5,0,0,basketball,basketball,3,2,3,3,0
5266-a,undefined,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
8740-0,undefined,exp,1,7,3,0,mediumCandle,smallCandle,1,2,1,4,1
8740-0,undefined,base,0,4,2,0,waterBottle,waterBottle,2,2,3,2,0
3247-a,undefined,base,1,8,1,0,computerMouse,computerMouse,4,2,4,4,0
3247-a,undefined,exp,1,4,1,0,mediumMeasuringCup,largeMeasuringCup,4,4,1,4,1
3247-a,undefined,exp,1,4,1,1,mediumMeasuringCup,smallMeasuringCup,4,4,3,2,0
3247-a,undefined,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
3247-a,undefined,exp,1,5,1,1,roundBrush,hairBrush,2,4,3,1,1
5186-6,undefined,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
5186-6,undefined,exp,1,5,1,1,roundBrush,hairBrush,2,4,3,1,1
5186-6,undefined,exp,1,5,1,2,roundBrush,hairBrush,2,4,2,1,1
7865-e,undefined,exp,1,8,1,0,computerMouse,toyMouse,4,2,1,2,1
7865-e,undefined,exp,1,1,1,0,sunGlasses,airplane,4,4,4,1,0
7865-e,undefined,exp,1,4,1,0,mediumMeasuringCup,largeMeasuringCup,4,4,1,4,1
7865-e,undefined,base,0,6,1,0,dollar,banana,4,3,4,1,0
7865-e,undefined,base,0,6,1,1,dollar,banana,4,3,4,1,0
7316-5,undefined,exp,1,8,1,0,computerMouse,toyMouse,4,2,1,2,1
7316-5,undefined,exp,0,4,2,0,waterBottle,waterBottle,2,2,0,2,0
7316-5,undefined,exp,0,4,2,1,waterBottle,smallMeasuringCup,2,2,2,1,0
7316-5,undefined,exp,0,4,2,2,waterBottle,waterBottle,2,2,-1,2,0
6794-e,undefined,base,1,2,2,0,middleBlock,topBlock,3,3,2,1,0
6794-e,undefined,base,1,2,2,1,middleBlock,topBlock,3,3,2,1,0
5712-f,undefined,base,0,5,2,0,headphones,headphones,3,3,2,3,0
1184-c,undefined,base,1,4,1,0,mediumMeasuringCup,smallMeasuringCup,4,4,3,2,0
1184-c,undefined,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
1184-c,undefined,exp,1,8,1,0,computerMouse,toyMouse,4,2,1,2,1
1184-c,undefined,base,0,3,0,0,scissors,scissors,2,2,0,2,0
1184-c,undefined,base,0,3,0,1,scissors,knife,2,2,2,3,0
1184-c,undefined,base,0,3,0,2,scissors,scissors,2,2,1,1,0
0366-3,undefined,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
0366-3,undefined,exp,0,1,0,0,airplane,airplane,3,1,1,1,0
1408-9,undefined,base,0,2,0,0,binoculars,middleBlock,2,4,3,3,0
1408-9,undefined,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
1408-9,undefined,exp,1,5,1,1,roundBrush,hairBrush,2,4,3,1,1
1408-9,undefined,exp,1,3,3,0,cassetteTape,cassetteTape,3,2,2,1,0
8008-1,undefined,exp,1,8,1,0,computerMouse,toyMouse,4,2,1,2,1
8008-1,undefined,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
8676-f,undefined,base,0,8,0,0,comb,key,1,1,2,1,0
8676-f,undefined,base,0,8,3,0,piano,piano,1,4,2,3,0
8676-f,undefined,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
8676-f,undefined,exp,1,5,1,1,roundBrush,hairBrush,2,4,3,1,1
7690-9,undefined,base,0,4,0,0,carrot,carrot,2,3,1,4,0
7690-9,undefined,base,1,4,1,0,mediumMeasuringCup,smallMeasuringCup,4,4,3,2,0
7690-9,undefined,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
7690-9,undefined,exp,1,3,3,0,cassetteTape,rollOfTape,3,2,4,2,1
2377-a,undefined,base,0,6,1,0,dollar,dollar,4,3,5,3,0
2255-1,undefined,base,0,8,0,0,comb,piano,1,1,2,3,0
2255-1,undefined,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
2255-1,undefined,exp,1,6,2,1,boardEraser,pencilEraser,2,3,1,2,1
8969-c,undefined,base,0,7,0,0,magnet,mediumCandle,2,4,1,2,0
2640-6,undefined,exp,1,4,1,0,mediumMeasuringCup,largeMeasuringCup,4,4,1,4,1
2640-6,undefined,exp,1,4,1,1,mediumMeasuringCup,chair,4,4,3,2,0
2640-6,undefined,exp,1,2,2,0,middleBlock,bottomBlock,3,3,3,4,1
2640-6,undefined,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
4878-0,undefined,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
4878-0,undefined,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
4726-4,undefined,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
4726-4,undefined,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
1383-5,undefined,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
1383-5,undefined,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
1383-5,undefined,exp,1,6,2,1,boardEraser,pencilEraser,2,3,1,1,1
5535-6,undefined,exp,1,8,1,0,computerMouse,toyMouse,4,2,1,2,1
4726-f,undefined,exp,0,2,0,0,binoculars,middleBlock,2,4,4,2,0
4726-f,undefined,exp,0,2,0,1,binoculars,middleBlock,2,4,3,3,0
4726-f,undefined,exp,0,2,0,2,binoculars,topBlock,2,4,2,1,0
4726-f,undefined,exp,0,2,1,0,wrench,bottomBlock,2,1,3,4,0
4726-f,undefined,exp,1,2,2,0,middleBlock,coffeeMug,3,3,2,2,0
4726-f,undefined,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
4726-f,undefined,exp,1,5,1,1,roundBrush,hairBrush,2,4,3,1,1
4726-f,undefined,exp,0,1,2,0,barrel,glassesCase,4,3,1,4,0
4726-f,undefined,exp,1,8,1,0,computerMouse,toyMouse,4,2,1,2,1
4726-f,undefined,exp,1,8,1,1,computerMouse,toyMouse,4,2,1,2,1
